ARC DT

Purchase Bills
Vendor:,All Vendors
Tax%:,All Taxes
From Date:,08/01/2019
To Date:,31/08/2019
Tax Component Break Up:,No
UOM:,Base UOM
Bill ID,Bill Date,CreditTerm,Payment Date,InvoiceReference,Vendor,Gross Amount,Tax Amount,Trade Discount%,Trade Discount Amount,Inv Disc% Total,Inv Disc/Unit Total,Othr Disc% Total,Othr Disc/Unit Total,Product Discount Amount,Adjustment Amount,Adjusted Amount,Net Amount,GRNID,GRN DATE,Status,Original Bill,Branch,ST,CST,Tax Type,GSTINOfVendor,FromStatecode,ToStatecode,ODNumber,Item Code,Item Name,Batch,Expiry,UOM,Quantity,PFM,Net PTS,Original PTS,PTR,MRP Per Pack,Goods Value,Gross Amount,Total Discount%,Total Discount/Unit,Inv Disc%,Inv Disc% Amt,Inv Disc/Unit,Inv Disc/Unit Amt,Inv Disc Total,Othr Disc%,Othr Disc% Amt,Othr Disc/Unit,Othr Disc/Unit Amt,Othr Disc Total,Product Discount Amount,Surcharge,Tax Suffered,Tax Amount,Total,HSNCode
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1646,GFK Red FirmFT MDPPCT 20RC_1646,7H1190172T-170,,M_S,10.00,5581.72,5581.72,5581.72,5841.46,300.00,55817.20,55817.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77423.01,133240.21,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1647,GFK Red FirmFT MDPPCT 10RC_1647,7H1190233Y-180,,M_S,382.00,5581.72,5581.72,5581.72,5841.46,150.00,2132217.04,2132217.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2957558.91,5089775.95,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1647,GFK Red FirmFT MDPPCT 10RC_1647,7H1190234Y-190,,M_S,118.00,5581.72,5581.72,5581.72,5841.46,150.00,658642.96,658642.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,913591.49,1572234.45,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1648,GFK Blue FirmFT MDPPCT 20BE_1648,7H3190073Y-200,,M_S,10.00,5581.72,5581.72,5581.72,5841.46,300.00,55817.20,55817.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77423.01,133240.21,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1649,GFK Blue FirmFT MDPPCT10BE_1649,7H3190072Y-210,,M_S,200.00,5581.72,5581.72,5581.72,5841.46,150.00,1116344.00,1116344.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1548460.16,2664804.16,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1651,Classic Ice Burst FS 20BE_1651,769190023Y-220,,M_S,30.00,5581.72,5581.72,5581.72,5841.46,300.00,167451.60,167451.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232269.02,399720.62,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1653,Classic Balanced T FT NB FS 20BE_1653,7H6190025Y-230,,M_S,20.00,5581.72,5581.72,5581.72,5841.46,300.00,111634.40,111634.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154846.02,266480.42,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1716,Classic Ice Burst 10m 10BE_1716,769190021T-240,,M_S,3.00,5581.72,5581.72,5581.72,5841.46,150.00,16745.16,16745.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23226.90,39972.06,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1719,Gold FL FTK Neo FirmFT FS 20BE_1719,7J3190002I-250,,M_S,10.00,5581.72,5581.72,5581.72,5841.46,300.00,55817.20,55817.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77423.01,133240.21,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1720,Gold FL FTK Neo FirmFT 10BE_1720,7J3190003I-260,,M_S,15.00,5581.72,5581.72,5581.72,5841.46,150.00,83725.80,83725.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,116134.51,199860.31,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1725,Gold Flake SLK Low smell 16CP_1725,3J2190001I-270,,M_S,1.28,5581.72,5581.72,5581.72,5856.61,240.00,7144.60,7144.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9910.15,17054.75,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,1786,Wave Cool Mint 10BE-NS_1786,787190169Y-280,,M_S,168.00,626.98,626.98,1227.68,700.85,50.00,206250.24,105332.00,48.93,0.00,48.93,100918.24,0.00,0.00,100918.24,0.00,0.00,0.00,0.00,0.00,100918.24,0.00,0.00,496255.56,601587.56,2402 20 40
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,299,BENSON & HEDGES SPECIALFTK-MD 20HL_299,744190005T-113,,M_S,1.00,5552.18,5552.18,5552.18,5810.97,300.00,5552.18,5552.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7723.40,13275.58,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,300,B&H Gold Blue FTK 20HL_300,706190009T-114,,M_S,2.00,5552.18,5552.18,5552.18,5810.97,300.00,11104.36,11104.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15446.79,26551.15,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,46,Classic Refreshing Taste NPCT 20BE_46,7D9190009Y-111,,M_S,10.00,5581.72,5581.72,5581.72,5841.46,300.00,55817.20,55817.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,77423.01,133240.21,2402 20 90
B4,07/08/2019,Credit 0 days,07/08/2019,21077285,ITC LIMITED,10908613.36,13399831.58,0.00,0.00,100918.24,0.00,0.00,0.00,100918.24,0.00,0.00,24207526.69,G4,7/8/2019,Open,,,,,Intra,33AAACI5950L1ZH,33,33,C33AE20100028575,51,Cl Fine TasteLow Smell NPCT 10BE_51,7A9190005Y-112,,M_S,0.20,5581.72,5581.72,5581.72,5841.46,150.00,1116.34,1116.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1548.46,2664.80,2402 20 90
